## Execution counts

<details>
<summary> execution counts for all instructions </summary>

|Name | Count | Self | Cumulative | Miss ratio | 
| IS_OP POP_JUMP_IF_FALSE | 483,315,290 | 0.4% | 44.1% |
| LOAD_FAST_LOAD_FAST LOAD_FAST | 481,566,315 | 0.4% | 44.5% |
| LOAD_CONST STORE_FAST | 475,780,178 | 0.4% | 44.9% |
| YIELD_VALUE INTERPRETER_EXIT | 475,020,256 | 0.4% | 45.3% |
| LOAD_CONST COMPARE_OP_INT | 470,172,332 | 0.4% | 45.7% |
| LOAD_FAST STORE_ATTR_SLOT | 455,474,805 | 0.4% | 46.1% |
| TO_BOOL_NONE POP_JUMP_IF_FALSE | 452,619,961 | 0.4% | 46.5% |
| LOAD_ATTR_MODULE PUSH_NULL | 444,437,351 | 0.4% | 46.9% |
| POP_JUMP_IF_FALSE RETURN_CONST | 441,482,986 | 0.4% | 47.3% |
| RETURN_VALUE RETURN_VALUE | 439,880,213 | 0.4% | 47.7% |
| RESUME_CHECK LOAD_GLOBAL_MODULE | 437,543,709 | 0.4% | 48.1% |
| RESUME_CHECK JUMP_BACKWARD_NO_INTERRUPT | 437,317,049 | 0.4% | 48.4% |
| LOAD_FAST_LOAD_FAST CALL_PY_EXACT_ARGS | 423,091,783 | 0.4% | 48.8% |
| YIELD_VALUE YIELD_VALUE | 417,057,016 | 0.4% | 49.2% |
| JUMP_BACKWARD_NO_INTERRUPT SEND_GEN | 417,056,544 | 0.4% | 49.5% |
| SEND_GEN RESUME_CHECK | 417,056,479 | 0.4% | 49.9% |
| LOAD_FAST LOAD_ATTR_METHOD_NO_DICT | 413,174,653 | 0.4% | 50.3% |
| POP_JUMP_IF_FALSE LOAD_FAST_LOAD_FAST | 410,483,548 | 0.4% | 50.6% |
| LOAD_ATTR_SLOT LOAD_FAST | 409,875,870 | 0.4% | 51.0% |
| LOAD_FAST_LOAD_FAST LOAD_FAST_LOAD_FAST | 405,812,473 | 0.4% | 51.3% |
| STORE_FAST STORE_FAST | 405,188,926 | 0.4% | 51.7% |
| LOAD_GLOBAL_MODULE LOAD_FAST | 392,590,046 | 0.3% | 52.0% |
| LOAD_ATTR_METHOD_WITH_VALUES LOAD_FAST_LOAD_FAST | 379,379,455 | 0.3% | 52.4% |
| LOAD_GLOBAL_MODULE LOAD_FAST_LOAD_FAST | 375,994,142 | 0.3% | 52.7% |
| CALL_BUILTIN_FAST TO_BOOL_BOOL | 367,790,498 | 0.3% | 53.0% |
| CALL STORE_FAST | 366,308,226 | 0.3% | 53.3% |
| NOP LOAD_FAST | 365,035,194 | 0.3% | 53.6% |
| POP_TOP RESUME_CHECK | 359,088,145 | 0.3% | 54.0% |
| BUILD_TUPLE RETURN_VALUE | 350,375,271 | 0.3% | 54.3% |
| PUSH_NULL LOAD_FAST_LOAD_FAST | 349,926,613 | 0.3% | 54.6% |
| POP_JUMP_IF_NOT_NONE LOAD_FAST | 348,965,951 | 0.3% | 54.9% |
| LOAD_FAST STORE_ATTR_INSTANCE_VALUE | 343,866,226 | 0.3% | 55.2% |
| STORE_FAST LOAD_GLOBAL_MODULE | 340,576,502 | 0.3% | 55.5% |
| BINARY_OP_ADD_INT STORE_FAST | 335,770,690 | 0.3% | 55.8% |
| STORE_FAST LOAD_GLOBAL_BUILTIN | 331,277,783 | 0.3% | 56.0% |
| RETURN_VALUE TO_BOOL_BOOL | 329,990,062 | 0.3% | 56.3% |
| POP_JUMP_IF_TRUE ENTER_EXECUTOR | 329,911,180 | 0.3% | 56.6% |
| STORE_ATTR_SLOT LOAD_FAST_LOAD_FAST | 329,245,704 | 0.3% | 56.9% |
| POP_JUMP_IF_FALSE LOAD_CONST | 321,597,028 | 0.3% | 57.2% |
| LOAD_GLOBAL_BUILTIN CALL_BUILTIN_FAST | 320,497,360 | 0.3% | 57.5% |
| LOAD_FAST CALL_METHOD_DESCRIPTOR_O | 317,178,762 | 0.3% | 57.7% |
| CALL_BUILTIN_O POP_TOP | 312,321,358 | 0.3% | 58.0% |
| LOAD_GLOBAL_MODULE CALL_ISINSTANCE | 308,774,119 | 0.3% | 58.3% |
